,Sensor Type No,Line No,Sensor No,Temp,Time
472,3,400,9,43.0065,2022-01-17 14:11:16
473,3,400,10,31.8692,2022-01-17 14:11:16
474,3,400,11,40.4168,2022-01-17 14:11:16
475,3,400,12,29.2263,2022-01-17 14:11:16
476,3,400,13,22.3474,2022-01-17 14:11:16
477,3,400,14,21.0824,2022-01-17 14:11:16
478,3,400,15,19.2928,2022-01-17 14:11:16
479,3,400,16,19.8316,2022-01-17 14:11:16
480,3,400,1,22.5567,2022-01-17 14:12:26
481,3,400,2,22.0844,2022-01-17 14:12:26
482,3,400,3,21.1689,2022-01-17 14:12:26
483,3,400,4,19.683,2022-01-17 14:12:26
484,3,400,5,38.108,2022-01-17 14:12:26
485,3,400,6,19.0808,2022-01-17 14:12:26
486,3,400,7,19.5371,2022-01-17 14:12:26
487,3,400,8,22.1652,2022-01-17 14:12:26
488,3,400,9,44.1317,2022-01-17 14:12:26
489,3,400,10,32.4613,2022-01-17 14:12:26
490,3,400,11,41.5392,2022-01-17 14:12:26
491,3,400,12,29.5261,2022-01-17 14:12:26
492,3,400,13,22.6244,2022-01-17 14:12:26
493,3,400,14,21.2261,2022-01-17 14:12:26
494,3,400,15,19.4328,2022-01-17 14:12:26
495,3,400,16,19.863,2022-01-17 14:12:26
496,3,400,1,22.6176,2022-01-17 14:12:28
497,3,400,2,22.0844,2022-01-17 14:12:28
498,3,400,3,21.1689,2022-01-17 14:12:28
499,3,400,4,19.683,2022-01-17 14:12:28
500,3,400,5,38.108,2022-01-17 14:12:28
501,3,400,6,19.0808,2022-01-17 14:12:28
502,3,400,7,19.5371,2022-01-17 14:12:28
503,3,400,8,22.1652,2022-01-17 14:12:28
504,3,400,9,44.1317,2022-01-17 14:12:28
505,3,400,10,32.4613,2022-01-17 14:12:28
506,3,400,11,41.5392,2022-01-17 14:12:28
507,3,400,12,29.5261,2022-01-17 14:12:28
508,3,400,13,22.6244,2022-01-17 14:12:28
509,3,400,14,21.2261,2022-01-17 14:12:28
510,3,400,15,19.4328,2022-01-17 14:12:28
511,3,400,16,19.863,2022-01-17 14:12:28
512,1,400,1,24.5006,2022-01-17 14:12:29
513,1,400,2,24.9593,2022-01-17 14:12:29
514,1,400,3,24.8878,2022-01-17 14:12:29
515,1,400,4,21.9003,2022-01-17 14:12:29
516,1,400,5,52.6495,2022-01-17 14:12:29
517,1,400,6,19.6047,2022-01-17 14:12:29
518,1,400,7,19.8706,2022-01-17 14:12:29
519,1,400,8,24.774,2022-01-17 14:12:29
520,1,400,9,61.8416,2022-01-17 14:12:29
521,1,400,10,46.276,2022-01-17 14:12:29
522,1,400,11,56.9277,2022-01-17 14:12:29
523,1,400,12,36.0769,2022-01-17 14:12:29
524,1,400,13,24.4244,2022-01-17 14:12:29
525,1,400,14,21.9779,2022-01-17 14:12:29
526,1,400,15,19.5283,2022-01-17 14:12:29
527,1,400,16,20.292,2022-01-17 14:12:29
528,1,400,1,24.5006,2022-01-17 14:12:33
529,1,400,2,24.9593,2022-01-17 14:12:33
530,1,400,3,24.8878,2022-01-17 14:12:33
531,1,400,4,21.9003,2022-01-17 14:12:33
532,1,400,5,52.6495,2022-01-17 14:12:33
533,1,400,6,19.6047,2022-01-17 14:12:33
534,1,400,7,19.8706,2022-01-17 14:12:33
535,1,400,8,24.774,2022-01-17 14:12:33
